Playlist ID,Add new videos to top,Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Image 3 Create Timestamp,Playlist Image 3 URL,Playlist Image 3 Height,Playlist Image 3 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLfnHolnb9F5s,False,2026-09-05T04:29:56.1833011+00:00,https://yt3.googleusercontent.com/ktmZoA6t4MJ2bfBgFdDYdLom6HY7SwW2cVJ5tw62mQDjaOEkK89uynp_5EicBRFLTpgiEERJ,1000,1000,2026-09-05T04:29:58.260279952+00:00,https://yt3.googleusercontent.com/WxO39OCi1uXAnjvUO1jGkSIClM9KywiUJxNiYMpl2kT8OWBe7xTvm6bK3bPFD1PjWqxX455WAKc,1000,1000,2026-09-05T04:29:53.726741421+00:00,https://yt3.googleusercontent.com/c8REk-Lql7dkdtOSzEIdmknHsyKDSIYStXlTt1Opdxx4wTrsU5St5hFT0i1MJlrmm3x4hREniw,1000,1000,O'block,,2026-09-05T04:29:40+00:00,2026-09-05T04:31:04+00:00,Manual,Private
PLNxsH7p10rDJYOvLFcMhnalFN-O5vYw1B,False,,,,,,,,,,,,,MacOS on Windows,,2025-12-26T17:04:01+00:00,2025-12-26T17:04:01+00:00,Manual,Private
PLNxsH7p10rDJkWLAbbva9_XKUSI0R6lIH,False,,,,,,,,,,,,,Affinity Tutorials,,2025-11-19T06:17:44+00:00,2025-11-19T06:17:44+00:00,Manual,Private
PLNxsH7p10rDJ41NuXRUS62K3AnFmdTY_q,False,,,,,,,,,,,,,Java,,2025-05-20T05:16:21+00:00,2025-05-20T05:16:21+00:00,Manual,Private
PLNxsH7p10rDKQzodAyD79EBBIlvo2GqKV,False,,,,,,,,,,,,,Network_Chuck,,2025-02-27T16:56:03+00:00,2025-02-27T16:56:03+00:00,Manual,Private
PLNxsH7p10rDIHHrpEH1X6FIa7IeAKi5Uv,False,,,,,,,,,,,,,Watch these,,2025-01-21T18:19:03+00:00,2025-07-17T18:47:32+00:00,Manual,Private
PLNxsH7p10rDIiXv3DfeDNpi-PQ70547Xl,False,,,,,,,,,,,,,Watch later,en_US,2017-08-16T11:57:43+00:00,2026-09-11T19:34:13+00:00,Date Added (Newest),Private





